"","Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","WHO.Region.Code","WHO.Region","Country.Code","Sex","Alcohol.total.per.capita..15...consumption.in.liters..numeric.","Alcohol.total.per.capita..15...consumption.in.liters..low.estimation.","Alcohol.total.per.capita..15...consumption.in.liters..high.estimation.","Alcohol.total.per.capita..15...consumption.in.liters..string.","Average_Alcohol_Consumption","Consumption_Comparison"
"1","Afghanistan",2000,"Developing",54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,114.56,293756,2.3,2.5,0.338,5.5,"EMR","Eastern Mediterranean","AFG","Both sexes",0.035,0.029,0.096,"0.035 [0.029 – 0.096]",0.0225,"BELOW AVERAGE"
"2","Afghanistan",2000,"Developing",54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,114.56,293756,2.3,2.5,0.338,5.5,"EMR","Eastern Mediterranean","AFG","Male",0.06,0.048,0.16,"0.06 [0.048 – 0.16]",0.035,"BELOW AVERAGE"
"3","Afghanistan",2000,"Developing",54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,114.56,293756,2.3,2.5,0.338,5.5,"EMR","Eastern Mediterranean","AFG","Female",0.009,0.007,0.026,"0.009 [0.007 – 0.026]",0.0095,"BELOW AVERAGE"
"4","Afghanistan",2001,"Developing",55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463,2.1,2.4,0.34,5.9,"EMR","Eastern Mediterranean","AFG","Female",0.009,0.007,0.026,"0.009 [0.007 – 0.026]",0.0095,"BELOW AVERAGE"
"5","Afghanistan",2001,"Developing",55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463,2.1,2.4,0.34,5.9,"EMR","Eastern Mediterranean","AFG","Both sexes",0.035,0.029,0.096,"0.035 [0.029 – 0.096]",0.0225,"BELOW AVERAGE"
"6","Afghanistan",2001,"Developing",55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463,2.1,2.4,0.34,5.9,"EMR","Eastern Mediterranean","AFG","Male",0.06,0.048,0.16,"0.06 [0.048 – 0.16]",0.035,"BELOW AVERAGE"
"7","Afghanistan",2002,"Developing",56.2,3,88,0.01,16.88735091,64,2486,13,122,36,7.76,36,0.1,187.84595,21979923,19.9,2.2,0.341,6.2,"EMR","Eastern Mediterranean","AFG","Female",0.009,0.007,0.025,"0.009 [0.007 – 0.025]",0.0095,"BELOW AVERAGE"
"8","Afghanistan",2002,"Developing",56.2,3,88,0.01,16.88735091,64,2486,13,122,36,7.76,36,0.1,187.84595,21979923,19.9,2.2,0.341,6.2,"EMR","Eastern Mediterranean","AFG","Both sexes",0.035,0.028,0.095,"0.035 [0.028 – 0.095]",0.0225,"BELOW AVERAGE"
"9","Afghanistan",2002,"Developing",56.2,3,88,0.01,16.88735091,64,2486,13,122,36,7.76,36,0.1,187.84595,21979923,19.9,2.2,0.341,6.2,"EMR","Eastern Mediterranean","AFG","Male",0.06,0.047,0.16,"0.06 [0.047 – 0.16]",0.035,"BELOW AVERAGE"
"10","Afghanistan",2003,"Developing",56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,198.7285436,2364851,19.7,19.9,0.373,6.5,"EMR","Eastern Mediterranean","AFG","Female",0.009,0.007,0.025,"0.009 [0.007 – 0.025]",0.0095,"BELOW AVERAGE"
"11","Afghanistan",2003,"Developing",56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,198.7285436,2364851,19.7,19.9,0.373,6.5,"EMR","Eastern Mediterranean","AFG","Male",0.06,0.048,0.16,"0.06 [0.048 – 0.16]",0.035,"BELOW AVERAGE"
"12","Afghanistan",2003,"Developing",56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,198.7285436,2364851,19.7,19.9,0.373,6.5,"EMR","Eastern Mediterranean","AFG","Both sexes",0.035,0.029,0.097,"0.035 [0.029 – 0.097]",0.0225,"BELOW AVERAGE"
"13","Afghanistan",2004,"Developing",57,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,219.1413528,24118979,19.5,19.7,0.381,6.8,"EMR","Eastern Mediterranean","AFG","Female",0.009,0.007,0.026,"0.009 [0.007 – 0.026]",0.0145,"BELOW AVERAGE"
"14","Afghanistan",2004,"Developing",57,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,219.1413528,24118979,19.5,19.7,0.381,6.8,"EMR","Eastern Mediterranean","AFG","Male",0.06,0.047,0.16,"0.06 [0.047 – 0.16]",0.04,"BELOW AVERAGE"
"15","Afghanistan",2004,"Developing",57,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,219.1413528,24118979,19.5,19.7,0.381,6.8,"EMR","Eastern Mediterranean","AFG","Both sexes",0.035,0.028,0.096,"0.035 [0.028 – 0.096]",0.0275,"BELOW AVERAGE"
"16","Afghanistan",2005,"Developing",57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798,19.3,19.5,0.396,7.9,"EMR","Eastern Mediterranean","AFG","Female",0.01,0.008,0.027,"0.01 [0.008 – 0.027]",0.015,"BELOW AVERAGE"
"17","Afghanistan",2005,"Developing",57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798,19.3,19.5,0.396,7.9,"EMR","Eastern Mediterranean","AFG","Both sexes",0.04,0.031,0.1,"0.04 [0.031 – 0.1]",0.03,"BELOW AVERAGE"
"18","Afghanistan",2005,"Developing",57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,25.2941299,257798,19.3,19.5,0.396,7.9,"EMR","Eastern Mediterranean","AFG","Male",0.067,0.052,0.17,"0.067 [0.052 – 0.17]",0.0435,"BELOW AVERAGE"
"19","Afghanistan",2006,"Developing",57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345,19.2,19.3,0.405,8.1,"EMR","Eastern Mediterranean","AFG","Male",0.067,0.053,0.18,"0.067 [0.053 – 0.18]",0.0485,"BELOW AVERAGE"
"20","Afghanistan",2006,"Developing",57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345,19.2,19.3,0.405,8.1,"EMR","Eastern Mediterranean","AFG","Both sexes",0.04,0.032,0.11,"0.04 [0.032 – 0.11]",0.035,"BELOW AVERAGE"
